hostname,role,app,env,loc,bu,type,os,risk,compliance,DFIRBubble,ip,enforcement
vna-01,vna,imaging,Production,acme hospital,health,server,windows 2022,,HIPAA,IR-CLEANBUBBLE,,selective
vna-02,vna,imaging,Production,acme hospital,health,server,windows 2022,,HIPAA,IR-CLEANBUBBLE,,selective
img-jump-01,jumpbox,imaging,Production,acme hospital,health,server,windows 2022,,HIPAA,IR-CLEANBUBBLE,,selective
pacs-01,pacs,imaging,Production,acme hospital,health,server,windows 2022,,HIPAA,IR-CLEANBUBBLE,,selective
pacs-02,pacs,imaging,Production,acme hospital,health,server,windows 2022,,HIPAA,IR-CLEANBUBBLE,,selective
acd-dc01-prd,dc,ad,Production,ca,it,server,windows 2008,,,IR-CLEANBUBBLE,,selective
acd-dc03-prd,dc,ad,Production,ny,it,server,windows 2008,,,IR-CLEANBUBBLE,,selective
acd-dc04-prd,dc,ad,Production,ny,it,server,windows 2008,,,IR-CLEANBUBBLE,,selective
acd-dc02-prd,dc,ad,Production,ca,it,server,windows 2008,,,IR-CLEANBUBBLE,,selective
ast-db02-prd,db,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-db01-prd,db,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-proc02-prd,processing,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-proc01-prd,processing,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-web02-prd,web,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-web01-prd,web,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ast-web03-prd,web,assetmgmt,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-db02-prd,db,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-db01-prd,db,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-proc02-prd,processing,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-proc01-prd,processing,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-proc03-prd,processing,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-web01-prd,web,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
cat-web02-prd,web,catalog,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-db01-prd,db,shareddb,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-db02-prd,db,shareddb,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-proc03-prd,processing,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-proc02-prd,processing,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-proc01-prd,processing,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-web01-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-web03-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-web04-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
